Dialect,Domanda,Risposta
italian,Cosa chiede il re alla madre per il giorno dopo?,"domani, per pranzo, fatemi una bella pizza"
italian,Cosa ci mette Maria dentro alla pizza che sta preparando?,l'anello che le aveva regalato il re alla festa da ballo
italian,Come l'ha presa la madre del principe alla fine della storia?,Si contentò che il figlio la sposasse.
italian,Come sono stati marito e moglie dopo il matrimonio?,Vissero allegri e contenti.
italian,Cosa ha detto il re ai figli di fare con le palle d'oro?,Andate in cima al monte e tiratele giù
italian,Dove è andata a finire la palla di Nicolino?,Dentro a un fosso
italian,Cosa fecero gli altri al fratello più piccolo?,"Cominciarono a prendere in giro il fratello più piccolo, dicendogli che si andasse a cercare la moglie dentro al fosso."
italian,Cosa gli ha risposto la ranocchia quando lui le disse che era la sua sposa?,"- Va bene; quando mi vuoi, vieni a prendermi."
italian,Per quale motivo chiamano la più piccola?,perché l'aiutasse a staccarsi di là
italian,Cosa si vedeva dato che il mantello non era lungo abbastanza?,"Il culetto di quella più piccola, era rimasto in mostra"
